,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Tom Segura,1979-04-16,"Cincinnati, Ohio, U.S.",,Alive,"Tom Segura (born April 16, 1979) is an American stand-up comedian, writer, actor, and podcaster. Segura co-hosts Your Mom's House podcast, and the “Two Bears One Cave” podcast.Segura was born on April 16, 1979 and he has two sisters.[1] When he was 18, Segura overdosed on GHB and fell into a short coma.",https://en.wikipedia.org/wiki/Tom_Segura,No Image
Corey Holcomb,1969-6-23,"Chicago, Illinois, United States",,Alive,"Corey Lamont Holcomb (born June 23, 1969)[1]  is an American comedian, radio host and actor. Born and raised in Chicago, Illinois, Holcomb got his start in comedy with the help of another Chicago-area comedian, Godfrey.[2] He currently hosts his own internet show, The Corey Holcomb 5150 Show, which currently airs Tuesday nights (7PM-PST/10PM-EST), live on YouTube.Corey Holcomb was raised in Chicago's notorious (now defunct) Robert Taylor Homes.",https://en.wikipedia.org/wiki/Corey_Holcomb,No Image
Russell Peters,1970-9-29,"Toronto, Ontario, Canada",,Alive,"Russell Dominic Peters (born September 29, 1970)[1] is a Canadian stand-up comedian, actor, and producer.[2] He began performing in Toronto in 1989 and won a Gemini Award in 2008. In 2013, he was number three on Forbes' list of the world's highest-paid comedians, and became the first comedian to get a Netflix stand-up special.[3] He also won the Peabody Award and the International Emmy Award for Best Arts Programming for producing Hip-Hop Evolution (2016).",https://en.wikipedia.org/wiki/Russell_Peters,https://upload.wikimedia.org/wikipedia/commons/0/09/RussellPeters08TIFF.jpg
Christopher Titus,1964,"Castro Valley, California, U.S.",,Alive,"Christopher Todd Titus (born 1964) is an American comedian and actor. He grew up in Newark, California.  Titus came to network audiences with the eponymous FOX show Titus,[2] of which he was the star, executive producer and co-creator.  He is also a stand-up comedian whose act revolves around his dysfunctional family and shocking life experiences.",https://en.wikipedia.org/wiki/Christopher_Titus,https://upload.wikimedia.org/wikipedia/commons/0/0e/Christopher_Titus.JPG
Finesse Mitchell,1972-6-12,"Atlanta, Georgia, United States|U.S.",,Alive,"Alfred Langston ""Finesse"" Mitchell (born June 12, 1972) is an American actor, author and stand-up comedian. From 2003 to 2006, he was a cast member on Saturday Night Live.[2]  Mitchell has also appeared on such television shows as Showtime at the Apollo, BET's ComicView, Comedy Central Presents, Disney's A.N.",https://en.wikipedia.org/wiki/Finesse_Mitchell,https://upload.wikimedia.org/wikipedia/commons/7/7a/Finesse_Mitchell_2016.png
Damon Wayans,1960-9-4,"New York City, U.S.",,Alive,"Damon Kyle Wayans Sr. (/ˈdeɪmən ˈweɪ.ənz/;[1] born September 4, 1960)[2] is an American stand-up comedian, actor, writer, and producer, and member of the Wayans family of entertainers. Wayans performed as a comedian and actor throughout the 1980s, including a year long stint on the sketch comedy series Saturday Night Live.",https://en.wikipedia.org/wiki/Damon_Wayans,https://upload.wikimedia.org/wikipedia/commons/3/33/Damon_Wayans.JPG
Godfrey,1969-7-21,"{{nowrap|Lincoln, Nebraska|Lincoln, Nebraska, U.S.}}",,Alive,"Godfrey C. Danchimah, Jr. (born July 21, 1969), professionally known as Godfrey, is an American comedian and actor[1] who has appeared on BET, VH1, Comedy Central, and feature films, such as Soul Plane, Original Gangstas, Zoolander, and Johnson Family Vacation. He was also a spokesperson for 7 Up during the popular '7up yours' advertising campaign.",https://en.wikipedia.org/wiki/Godfrey_(comedian),https://upload.wikimedia.org/wikipedia/commons/6/67/Godfrey_%28comedian%29.jpg
D.L. Hughley,1963-3-6,"Portsmouth, Virginia, U.S.",,Alive,"Darryl Lynn Hughley (/ˈhjuːɡliː/; born March 6, 1963)[1] is an American actor, political commentator, radio host, author and stand-up comedian. Hughley is best known as the original host of BET's ComicView from 1992-1993, the eponymous character on the ABC/UPN sitcom The Hughleys, and as one of the ""Big Four"" comedians in The Original Kings of Comedy. Additionally, he has been the host of CNN's D. L.",https://en.wikipedia.org/wiki/D.L._Hughley,https://upload.wikimedia.org/wikipedia/commons/9/91/D._L._Hughley%2C_Robin_Roberts%2C_and_Doreen_Ringer-Ross%2C_May_2013_%28cropped%29x.jpg
Gilbert Gottfried,1955-2-28,"Brooklyn, New York (state)|New York, U.S.",,Alive,"Gilbert Jeremy Gottfried[1] (born February 28, 1955) is an American stand-up comedian, actor and voice actor. Gottfried's persona as a comedian features an exaggerated shrill voice and emphasis on crude humor. His numerous roles in film and television include voicing the parrot Iago in Disney's Aladdin animated films and TV show, Digit in the PBS Kids Go! show Cyberchase, and Kraang Subprime in Teenage Mutant Ninja Turtles. Gottfried was also the voice of the Aflac Duck until 2011.",https://en.wikipedia.org/wiki/Gilbert_Gottfried,https://upload.wikimedia.org/wikipedia/commons/d/d5/Gilbert_Gottfried_Photo_Op_GalaxyCon_Richmond_2020.jpg
Bruce Bruce,1965-2-09,"Atlanta, Georgia",,Alive,"Bruce Church (born February 9, 1965), better known as Bruce Bruce, is an American actor and stand-up comedian from Atlanta, Georgia. He grew up in The Bluff, one of the city's roughest neighborhoods.[1]He was the host of BET's ComicView[2] and has appeared in various stand-up comedy specials and television series. He was also a spokesman for Popeye's Chicken & Biscuits.",https://en.wikipedia.org/wiki/Bruce_Bruce,No Image
